RT001;1.52051;1.65057
RT002;-4.93168;3.98562
RT003;-7.80199;3.0976
RT004;4.11567;2.84895
RT005;2.68105;-2.49437
RT006;1.52763;1.75607
RT007;0.561199;-0.958136
RT008;-2.05925;5.49918
RT009;-0.938638;-1.03031
RT010;-3.59437;3.55538
RT011;-0.357159;4.05151
RT012;-4.06351;4.66975
RT013;2.89683;1.10474
RT014;-3.72167;-0.84085
RT015;5.21706;-8.03425
RT016;0.880419;-3.67705
RT017;1.33302;1.61988
RT018;-2.38149;3.2277
RT019;0.09997;3.91792
RT020;-0.202871;0.07238
RT021;-7.80108;3.85318
RT022;-2.26866;6.79595
RT023;2.29693;0.072769
RT024;-6.81964;3.84371
RT025;-1.26771;5.19856
RT026;1.93068;-0.841852
RT027;3.38999;4.31213
RT028;13.8211;-6.2128
RT029;3.42574;-1.71215
RT030;8.28991;-3.22859
RT031;5.86001;0.649613
RT032;7.70574;-2.45108
RT033;8.40955;1.51597
RT034;-5.46173;0.854568
RT035;1.03023;1.58394
RT037;-0.651344;4.45603
RT038;2.56115;2.33118
RT039;7.60234;-0.323912
RT040;8.56757;-4.80481
RT041;0.740898;3.62389
RT042;8.26781;-0.598832
RT043;13.4881;-7.10475
RT044;3.2139;5.82245
RT045;0.781026;4.43702
RT046;7.41907;-2.49021
RT047;1.46243;5.00582
RT048;7.49617;-0.112585
RT049;2.77331;-2.81491
RT050;0.724459;1.36896
RT051;-2.31933;3.77987
RT052;-0.316493;2.88748
RT053;6.98439;2.51871
RT054;5.96379;0.035111
RT055;12.5269;-2.4973
RT056;4.93355;1.08004
RT057;1.46278;3.20085
RT058;-1.64194;-0.073121
RT059;8.5032;2.84916
RT060;0.939505;-2.5973
RT061;8.27114;5.01494
RT062;4.63517;1.57695
RT063;6.4585;1.28879
RT064;0.46651;2.89582
RT066;4.9055;4.45226
RT067;10.4767;2.19752
RT068;-1.55583;2.89164
RT069;-0.814737;3.9187
RT070;-5.46314;5.21488
RT071;7.95303;3.19538
RT072;9.03948;1.81396
RT073;10.6426;-1.16529
RT074;3.63259;2.0826
RT076;5.55734;2.843
RT077;-1.43926;5.13835
RT078;8.37188;3.974
RT080;10.1036;4.59286
RT081;10.2171;-1.98415
RT082;9.30231;-0.881368
